# Conversazione con lo Spark ricavata da un btsnoop_hci.log.
# APP = mandato dal telefono, ampli = notifica in arrivo.
# messaggi: 163  (dall'app: 50)

    0,000s  APP    0x022f   f0 01 01 00 02 2f f7
    0,046s  ampli  0x032f   f0 01 01 10 03 2f 11 4e 02 07 02 48 f7
    0,060s  APP    0x0170   f0 01 02 28 01 70 43 4c 35 3b 57 04 39 4c 0d 47 6a 4c 3d 31 1e 71 40 26 38 56 03 1b 76 4c 7d 76 33 4c 33 4c 01 4c 6d 51 3d 4c 08 1b 4c 13 30 12 31 20 5d 4c 2b 12 63 4c 08 32 59 5a 4c 2e 36 1e 4c 64 2c 4c 1f 7f 5e 56 4c 28 4c 0b 5f 4c 1f 08 4c 36 4c 7b 01 0e 30 30 26 15 1e 4c 13 46 7b 4c 46 52 4c 68 4c 4a 0f 4c 30 4c 68 0d f7
    0,210s  ampli  0x0470   f0 01 02 00 04 70 00 00 f7
    0,221s  APP    0x022f   f0 01 03 00 02 2f f7
    0,300s  ampli  0x032f   f0 01 03 10 03 2f 11 4e 02 07 02 48 f7
    0,310s  APP    0x0223   f0 01 04 00 02 23 f7
    0,405s  APP    0x0211   f0 01 05 00 02 11 f7
    0,481s  ampli  0x0311   f0 01 05 6b 03 11 02 07 27 53 70 61 72 6b 00 20 32 f7
    0,488s  APP    0x0223   f0 01 06 00 02 23 f7
    0,708s  APP    0x022b   f0 01 07 00 02 2b 00 00 f7
    0,802s  APP    0x0201   f0 01 08 02 02 01 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 f7
    1,529s  ampli  0x0301   f0 01 08 65 03 01 70 11 10 05 3e 4c 4c 4d 01 63 f7
    1,734s  APP    0x0201   f0 01 09 05 02 01 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 f7
    2,554s  APP    0x0201   f0 01 0a 07 02 01 00 00 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 f7
    3,369s  APP    0x0210   f0 01 0b 00 02 10 f7
    3,449s  ampli  0x0310   f0 01 0b 06 03 10 00 00 06 f7
    3,457s  APP    0x0223   f0 01 0c 00 02 23 f7
    3,575s  APP    0x0211   f0 01 0d 00 02 11 f7
    3,661s  ampli  0x0311   f0 01 0d 6b 03 11 02 07 27 53 70 61 72 6b 00 20 32 f7
    3,668s  APP    0x022f   f0 01 0e 00 02 2f f7
